1 1:0.408122 2:0.407777 3:0.38636 4:0.372549 5:0.0588235 6:0.407843 7:0.192373 8:0.224456 9:0.455346 10:0.115403 11:0.0124225 12:0.956466 13:0.0429365 14:0.000586682 15:0.499997 16:0.159888 17:0.00399813 18:0.00352661 19:0.00153624 20:0.00300077 21:0.00846344 22:0.0044653 23:0.00491075 24:0.0127006 25:0.0103278 26:0.00873505 27:0.00460872 28:0.00418065 29:0.00295514 30:0.00246407 31:0.00416762 32:0.00260313 33:0.0186326 34:0.00473692 35:0.00879372 36:0.00220332 37:0.0102474 38:0.00600589 39:0.00355703 40:0.00127766 41:0.0252838 42:0.00438925 43:0.00456091 44:0.00169486 45:0.00360701 46:0.00319851 47:0.00567561 48:0.00940865 49:0.0130591 50:0.00544311 51:0.00898493 52:0.00224026 53:0.00364829 54:0.00252491 55:0.00627533 56:0.00694893 57:0.00432624 58:0.00638615 59:0.0197821 60:0.00385255 61:0.00657953 62:0.00299643 63:0.0386993 64:0.00926089 
-1 1:0.315016 2:0.285836 3:0.256546 4:0.415686 5:0.188235 6:0.313726 7:0 8:0 9:0.782609 10:0.217391 11:0 12:1 13:0 14:0 15:0.5 16:0.263975 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0372671 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0341615 42:0 43:0 44:0 45:0 46:0 47:0 48:0.015528 49:0 50:0 51:0.0807453 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.068323 64:0 
-1 1:0.319037 2:0.289799 3:0.258526 4:0.411765 5:0.196078 6:0.317647 7:0 8:0 9:0.886076 10:0.113924 11:0 12:1 13:0 14:0 15:0.506329 16:0.367089 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0126582 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.113924 64:0 
-1 1:0.305754 2:0.270503 3:0.25471 4:0.435294 5:0.168627 6:0.301961 7:0 8:0 9:0.00815217 10:0.991848 11:0 12:1 13:0 14:0 15:0.497283 16:0.372283 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0217391 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0298913 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.0190217 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0597826 64:0 
-1 1:0.315736 2:0.290328 3:0.25912 4:0.403922 5:0.176471 6:0.313726 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.5 16:0.0546218 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0294118 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0756303 42:0 43:0 44:0 45:0 46:0 47:0 48:0.189076 49:0 50:0 51:0.142857 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.00840336 64:0 
-1 1:0.303171 2:0.268821 3:0.251876 4:0.435294 5:0.168627 6:0.301961 7:0 8:0 9:0.104938 10:0.895062 11:0 12:1 13:0 14:0 15:0.5 16:0.123457 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0679012 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0493827 42:0 43:0 44:0 45:0 46:0 47:0 48:0.104938 49:0 50:0 51:0.141975 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0123457 64:0 
-1 1:0.292787 2:0.258277 3:0.240792 4:0.435294 5:0.176471 6:0.290196 7:0 8:0 9:0.107071 10:0.892929 11:0 12:1 13:0 14:0 15:0.49899 16:0.127273 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0484848 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0666667 42:0 43:0 44:0 45:0 46:0 47:0 48:0.119192 49:0 50:0 51:0.121212 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0181818 64:0 
-1 1:0.262316 2:0.237656 3:0.209941 4:0.407843 5:0.196078 6:0.258824 7:0 8:0 9:0.993023 10:0.00697674 11:0 12:1 13:0 14:0 15:0.5 16:0.0627907 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0418605 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.395349 64:0 
-1 1:0.275644 2:0.249036 3:0.215978 4:0.407843 5:0.215686 6:0.27451 7:0 8:0 9:0.987603 10:0.0123967 11:0 12:1 13:0 14:0 15:0.504132 16:0.42562 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0702479 64:0 
-1 1:0.314724 2:0.287273 3:0.251979 4:0.403922 5:0.2 6:0.313726 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.498155 16:0.435424 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0405904 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0221402 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.00369004 64:0 
-1 1:0.293608 2:0.268435 3:0.240576 4:0.407843 5:0.176471 6:0.290196 7:0 8:0 9:0.99711 10:0.00289017 11:0 12:1 13:0 14:0 15:0.508671 16:0.447977 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0433526 64:0 
