1 1:0.341746 2:0.345519 3:0.33097 4:0.32549 5:0.0470588 6:0.345098 7:0.00315457 8:0.164038 9:0.832808 10:0 11:0 12:1 13:0 14:0 15:0.504732 16:0.0189274 17:0.00630915 18:0.00946372 19:0 20:0.00315457 21:0 22:0 23:0 24:0.0883281 25:0.00946372 26:0 27:0 28:0.00630915 29:0 30:0.0189274 31:0.00946372 32:0.0157729 33:0 34:0 35:0.0126183 36:0 37:0.00315457 38:0 39:0 40:0.0630915 41:0.00315457 42:0.0757098 43:0.00315457 44:0 45:0.00630915 46:0 47:0 48:0 49:0.0126183 50:0 51:0.0126183 52:0.00315457 53:0.00946372 54:0 55:0.0157729 56:0.00315457 57:0.0157729 58:0.0157729 59:0.00946372 60:0 61:0 62:0.0157729 63:0.022082 64:0 
1 1:0.349108 2:0.369211 3:0.34351 4:0.270588 5:0.0745098 6:0.368627 7:0 8:0.932203 9:0.0677966 10:0 11:0 12:1 13:0 14:0 15:0.516008 16:0 17:0.265537 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0.0376648 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.180791 63:0 64:0 
1 1:0.345637 2:0.353623 3:0.337179 4:0.305882 5:0.054902 6:0.352941 7:0 8:0.351931 9:0.648069 10:0 11:0 12:1 13:0 14:0 15:0.508584 16:0.0515021 17:0.0729614 18:0.00429185 19:0 20:0 21:0 22:0 23:0.00429185 24:0.00214592 25:0.00858369 26:0.0128755 27:0 28:0.0214592 29:0 30:0.027897 31:0.0171674 32:0.0107296 33:0.0150215 34:0 35:0 36:0.0364807 37:0 38:0 39:0.00643777 40:0.0171674 41:0 42:0.00429185 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0.0429185 54:0 55:0.0236052 56:0 57:0 58:0 59:0.00214592 60:0 61:0.00643777 62:0.0922747 63:0.0107296 64:0 
1 1:0.346349 2:0.361122 3:0.33952 4:0.27451 5:0.0666667 6:0.360784 7:0 8:0.775862 9:0.224138 10:0 11:0 12:1 13:0 14:0 15:0.517241 16:0 17:0.224138 18:0 19:0 20:0.0301724 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0.107759 43:0.0387931 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.0215517 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0603448 63:0 64:0 
1 1:0.34902 2:0.353435 3:0.337224 4:0.329412 5:0.054902 6:0.352941 7:0 8:0.133858 9:0.866142 10:0 11:0 12:1 13:0 14:0 15:0.484252 16:0 17:0.0551181 18:0.0472441 19:0 20:0 21:0 22:0 23:0 24:0.0472441 25:0.00393701 26:0 27:0 28:0 29:0 30:0.011811 31:0.015748 32:0 33:0.00787402 34:0 35:0 36:0 37:0 38:0 39:0 40:0.0787402 41:0 42:0.0748032 43:0.011811 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.0275591 52:0 53:0 54:0 55:0.011811 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0748032 63:0.0472441 64:0 
1 1:0.347156 2:0.358462 3:0.342261 4:0.266667 5:0.0431373 6:0.356863 7:0 8:0.673759 9:0.326241 10:0 11:0 12:1 13:0 14:0 15:0.514184 16:0 17:0.0744681 18:0.0106383 19:0 20:0 21:0 22:0 23:0 24:0.0070922 25:0.0035461 26:0 27:0.0177305 28:0.0106383 29:0 30:0.0177305 31:0.0425532 32:0.0070922 33:0.0638298 34:0 35:0 36:0 37:0 38:0.0425532 39:0 40:0 41:0 42:0.0035461 43:0.0177305 44:0.0319149 45:0 46:0 47:0 48:0 49:0.0035461 50:0.0106383 51:0 52:0 53:0 54:0 55:0.0035461 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0780142 63:0 64:0.0390071 
1 1:0.352479 2:0.359346 3:0.343112 4:0.294118 5:0.0431373 6:0.356863 7:0 8:0.275109 9:0.720524 10:0.00436681 11:0 12:1 13:0 14:0 15:0.502183 16:0 17:0.104803 18:0 19:0 20:0 21:0 22:0 23:0 24:0.00436681 25:0 26:0 27:0.0174672 28:0 29:0 30:0 31:0.0480349 32:0 33:0.0655022 34:0 35:0 36:0 37:0 38:0.0349345 39:0 40:0 41:0 42:0 43:0.0262009 44:0.0393013 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0.00873362 56:0 57:0 58:0 59:0 60:0 61:0 62:0.100437 63:0 64:0.0480349 
1 1:0.343265 2:0.346644 3:0.332425 4:0.32549 5:0.0470588 6:0.345098 7:0 8:0.00406504 9:0.963415 10:0.0325203 11:0 12:1 13:0 14:0 15:0.49187 16:0.0121951 17:0.113821 18:0.00813008 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0.00406504 27:0.0243902 28:0.0121951 29:0 30:0.0203252 31:0.0447154 32:0.0365854 33:0.0447154 34:0 35:0 36:0 37:0 38:0.0284553 39:0 40:0.00406504 41:0 42:0.0121951 43:0 44:0.0121951 45:0 46:0 47:0 48:0 49:0 50:0.00406504 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.117886 63:0.00813008 64:0 
1 1:0.355376 2:0.362288 3:0.345752 4:0.294118 5:0.0431373 6:0.360784 7:0 8:0.275 9:0.725 10:0 11:0 12:1 13:0 14:0 15:0.483333 16:0.0125 17:0.0625 18:0 19:0 20:0 21:0 22:0 23:0 24:0.0125 25:0.025 26:0 27:0.00416667 28:0 29:0 30:0.0208333 31:0.00416667 32:0.00416667 33:0.0625 34:0 35:0 36:0 37:0 38:0 39:0 40:0.00833333 41:0 42:0.0125 43:0.0583333 44:0.0291667 45:0 46:0.00416667 47:0 48:0 49:0.00833333 50:0 51:0 52:0 53:0 54:0 55:0.0416667 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0916667 63:0.0208333 64:0.0333333 
1 1:0.348358 2:0.360089 3:0.34154 4:0.266667 5:0.0431373 6:0.356863 7:0 8:0.616034 9:0.383966 10:0 11:0 12:1 13:0 14:0 15:0.510549 16:0 17:0.00843882 18:0.0253165 19:0 20:0 21:0 22:0 23:0 24:0.00421941 25:0.0168776 26:0 27:0 28:0 29:0 30:0 31:0.14346 32:0 33:0.0126582 34:0 35:0 36:0 37:0 38:0.0337553 39:0 40:0.0337553 41:0 42:0.0506329 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0.0126582 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.07173 63:0.0759494 64:0 
1 1:0.338395 2:0.350129 3:0.329777 4:0.282353 5:0.054902 6:0.34902 7:0 8:0.565891 9:0.426357 10:0.00775194 11:0 12:1 13:0 14:0 15:0.507752 16:0 17:0.0620155 18:0.00387597 19:0 20:0 21:0 22:0 23:0 24:0.0581395 25:0 26:0 27:0 28:0 29:0 30:0 31:0.0542636 32:0 33:0.0813954 34:0 35:0 36:0 37:0 38:0.0387597 39:0 40:0.0813954 41:0 42:0 43:0.00775194 44:0.0155039 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0.0387597 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0232558 63:0.0271318 64:0 
1 1:0.32601 2:0.341086 3:0.319364 4:0.282353 5:0.0588235 6:0.337255 7:0 8:0.825263 9:0.172632 10:0.00210526 11:0 12:1 13:0 14:0 15:0.501053 16:0 17:0.477895 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0210526 63:0 64:0 
1 1:0.348937 2:0.364403 3:0.342462 4:0.258824 5:0.054902 6:0.360784 7:0 8:0.836066 9:0.163934 10:0 11:0 12:1 13:0 14:0 15:0.512881 16:0 17:0.0538642 18:0 19:0 20:0.00936768 21:0 22:0 23:0 24:0.173302 25:0 26:0 27:0 28:0 29:0 30:0 31:0.030445 32:0 33:0.00702576 34:0 35:0 36:0.00468384 37:0 38:0 39:0 40:0.0960187 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.00468384 52:0 53:0.0140515 54:0 55:0.0234192 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0257611 63:0.0444965 64:0 
